id,first_name,last_name,occupation,Worked at,Popular Index,initial vote
1,Dakota,Johnson,Actress,Fifty Shades of Grey,90,9
2,Margot,Robbie,Actress,The Wolf of Wall Street,90,9
3,Eddie,Redmayne,Actor,The Theory of Everything,90,9
4,Jamie,Dornan,Actor,Fifty Shades of Grey,90,9
5,Emma,Stone,Actress,The Help,90,9
6,Shailene,Woodley,Actress,Divergent,90,9
7,Julianne,Moore,Actress,The Big Lebowski,90,9
8,Rosamund,Pike,Actress,Gone Girl,90,9
9,Miles,Teller,Actor,Whiplash,90,9
10,Jennifer,Lawrence,Actress,The Hunger Games,90,9
